"talk.edits","words.added","editors","talk.density","talk.diameter","talk.clustering.coef","talk.kcore.gt.2","days.from.start.to.end","days.from.half.to.end","founding.date"
20,124337,97,0.375,3,0.692307692307692,0.75,421,63,"2004-11-11 23:33:14"
37,26293,88,0.392857142857143,3,0.6875,0.75,1863,2,"2004-08-05 00:57:01"
26,124410,192,0.0879120879120879,2,1,0.5,273,5,"2007-08-14 00:47:51"
121,67347,65,0.123991935483871,4,0.467213114754098,0.6875,53,21,"2006-02-10 08:08:11"
4,243311,3,0.5,1,NA,0,81,0,"2009-09-14 06:26:47"
73,123895,145,0.166666666666667,3,0.40625,0.789473684210526,207,41,"2007-09-11 09:03:34"
67,75346,172,0.0435897435897436,4,0.248466257668712,0.25,376,86,"2008-03-13 19:54:05"
0,3451,222,NA,0,NA,NA,222,16,"2009-01-12 02:00:00"
162,86843,51,0.113300492610837,4,0.314238952536825,0.551724137931034,172,0,"2008-07-23 02:28:23"
64,158615,113,0.053763440860215,3,0.24609375,0.225806451612903,290,151,"2008-04-30 20:03:08"
132,123588,113,0.082010582010582,4,0.332278481012658,0.5,309,96,"2007-11-13 21:20:05"
24,87807,108,0.25,3,0.514285714285714,0.555555555555556,37,33,"2007-01-07 13:16:58"
4,10066,17,0.5,1,NA,0,31,4,"2009-11-08 23:21:58"
80,461571,240,0.0772859216255443,7,0.554024255788313,0.905660377358491,529,144,"2004-11-11 23:33:14"
30,18076,26,0.25,1,NA,0,11,6,"2008-11-12 12:29:06"
110,173234,55,0.258241758241758,3,0.49390243902439,0.785714285714286,71,14,"2009-04-15 17:32:28"
20,86185,96,0.178571428571429,2,0.3,0,52,19,"2006-02-24 01:57:02"
103,542520,136,0.111111111111111,4,0.466507177033493,0.666666666666667,301,56,"2004-11-11 23:33:14"
6,221181,295,0.5,1,NA,0,498,2,"2006-08-06 19:38:20"
15,95485,73,0.118181818181818,3,0.285714285714286,0,135,94,"2007-11-04 06:45:04"
107,273665,58,0.0899621212121212,6,0.423963133640553,0.818181818181818,682,11,"2006-01-09 15:56:28"
9,112573,21,0.178571428571429,2,0.642857142857143,0,675,80,"2007-08-09 22:31:49"
60,135297,45,0.222222222222222,4,0.606818181818182,0.789473684210526,38,26,"2009-07-17 01:38:07"
2,444180,37,0.166666666666667,1,NA,0,497,224,"2008-03-06 15:12:05"
140,53068,56,0.0780730897009967,3,0.336626676076217,0.465116279069767,173,41,"2008-02-10 23:12:05"
175,50657,81,0.0472972972972973,2,0.0724137931034483,0.27027027027027,457,2,"2007-08-09 22:31:49"
215,98568,26,0.2625,3,0.602678571428571,0.75,18,2,"2009-03-11 23:50:08"
19,555986,8,1,1,NA,0,51,12,"2008-05-02 21:28:56"
48,66948,110,0.101666666666667,4,0.662337662337662,0.64,1039,124,"2004-11-11 23:33:14"
41,85341,132,0.065359477124183,3,0.333333333333333,0,877,177,"2006-03-16 13:42:50"
103,99472,140,0.143874643874644,4,0.563829787234043,0.666666666666667,725,7,"2007-07-30 03:28:18"
0,94128,860,NA,0,NA,NA,790,163,"2004-02-29 01:18:19"
24,103718,125,0.0904761904761905,3,0.5625,0.2,682,126,"2007-09-29 00:29:52"
44,98589,159,0.0980392156862745,2,0.172131147540984,0.388888888888889,943,371,"2006-09-13 11:29:24"
84,223754,64,0.148351648351648,3,0.529411764705882,0.642857142857143,1148,58,"2006-04-20 14:02:46"
20,349668,98,0.118181818181818,2,0.4,0.272727272727273,684,66,"2005-02-07 06:23:15"
148,65785,46,0.16798418972332,3,0.4,0.608695652173913,38,34,"2007-10-18 02:30:09"
